CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.928939,3.713096463333333,10.136370074787212,2.7300325223443704,109.888800790688,269.330391669
1,403200,1497.155405,3.7131830481150794,19.474557648899353,3.9024947810651653,76.87390165275676,200.389392736
1,518400,1924.878412,3.7131142206790124,32.86429845041277,5.122242173052645,58.56810159782281,155.860383899
1,614400,2281.351473,3.7131371630859378,38.626815131473165,5.07968588478105,59.05876993276542,131.506723179
1,691200,2566.757074,3.7134795630787036,42.37870677584469,4.95342159827701,60.56419669675432,116.884680424
1,787200,2922.922533,3.7130621608231706,44.07417516013713,4.523831484746503,66.31546754372766,102.641319283
1,883200,3279.297793,3.712973044610507,48.91586208886801,4.475162005811328,67.0366792555058,91.48692908
1,979200,3636.055123,3.7132915880310455,53.15113644773159,4.385527041539634,68.4068293635874,82.510503719
1,1075200,3992.175336,3.7129606919642852,57.62405319306651,4.330524649922668,69.27567079091843,75.151337158
1,1171200,4348.582362,3.7129289293032786,63.34761486138219,4.370398491602915,68.6436261078724,68.990734713
1,1248000,4633.634005,3.7128477604166665,68.17547495282797,4.41412116099058,67.96369856161279,64.746467319
1,1344000,4990.351986,3.713059513392857,71.30020972899989,4.286488687931986,69.98735371555006,60.118879092
1,1420800,5275.652862,3.713156575168919,74.91420090249981,4.260208071100315,70.41909573269194,56.867830395
1,1516800,5631.581911,3.712804529931435,80.51029609052816,4.289113466894866,69.94452404104551,53.274098782
1,1612800,5988.023952,3.712812470238095,88.59540044817987,4.438909088472835,67.58417305257589,50.103155085
1,1708800,6344.372542,3.7127648302902623,92.14964862378714,4.357643662463018,68.84454609820818,47.288771336
1,1804800,6700.915792,3.712830115248227,98.64601835661348,4.416543028028932,67.9264298108486,44.771629931
4,710400,6023.491617,8.479014100506756,115.57791647918353,5.7576357094641395,52.104720607257875,49.816053835
4,825600,6998.716902,8.477128030523255,137.58342782338082,5.8989371470516145,50.856619170784846,42.875346547
4,940800,7985.307035,8.48778383822279,155.72195215721607,5.851930259640437,51.26513589354243,37.579353319
4,1056000,8952.017188,8.47728900378788,181.49914576209085,6.084231793418278,49.30778612421213,33.522096029
4,1171200,9941.675504,8.488452445355192,207.2287331303665,6.255760584004764,47.95579945419655,30.187708478
4,1286400,10901.162791,8.474162617381841,234.81952004974062,6.464980198571724,46.40385442576878,27.531698375
4,1382400,11712.344811,8.472471651475695,250.48218811467993,6.418456509277526,46.740209202378566,25.624402907
4,1478400,12526.096033,8.472738117559523,277.02583434026076,6.6375182977939,45.19761551538178,23.959925303
4,1574400,13349.9466,8.479386814024389,310.5436887734544,6.981837750788091,42.96862956549467,22.482626449
4,1670400,14170.996693,8.483594763529693,345.6161029989046,7.320830012334964,40.97895996690621,21.181970252
4,1766400,14973.048513,8.476589964334238,376.1732418366314,7.541289744104645,39.780993726507205,20.047384836
4,1862400,15801.948907,8.484723425150344,432.64516418961097,8.21848738082171,36.503067547449966,18.99590718
4,1958400,16606.698035,8.479727346303104,454.23943703366655,8.21118719548026,36.535520730197334,18.076781816
4,2054400,17433.751743,8.486055170852804,511.935583244,8.814528786209769,34.03471782511467,17.218042806
4,2150400,18244.845831,8.484396312779017,561.9769613403749,9.247004539165225,32.44293854613837,16.454419265
4,2246400,19039.1572,8.475408297720797,622.6825399197331,9.818630366528895,30.554159674111116,15.768276348
4,2342400,19864.918554,8.480583399077869,692.0536489411999,10.458930558434279,28.683620980547992,15.112889838
4,2419200,20524.047342,8.483815865575398,700.8298242396428,10.251632044027204,29.26363321582398,14.627847859
7,844800,7171.886206,8.489448633996213,147.8140979218535,6.184562063680978,48.50788089940253,41.840136703
7,960000,8143.322476,8.482627579166667,169.07061327627767,6.230459551747523,48.15054130571409,36.851227017
7,1075200,9120.204293,8.482332861793155,200.2047621732499,6.58769232750615,45.53946740156406,32.904773373
7,1190400,10095.571409,8.480822756216398,217.17987354137915,6.455922603969164,46.46895856768126,29.726155093
7,1305600,11074.605929,8.48238811963848,249.39239734440724,6.758725984717063,44.38706357949186,27.100769938
7,1401600,11892.020454,8.484603634417809,269.38914421863984,6.798558354084365,44.12700228126588,25.236942542
7,1516800,12869.46077,8.48461284941983,313.4934956557825,7.311504461961098,41.03122709707459,23.322667179
7,1632000,13835.085778,8.477380991421569,352.6993790146189,7.651417744478218,39.20841993191397,21.693879263
7,1747200,14817.009927,8.480431505837911,394.9053200602499,7.999941476447455,37.50027433115941,20.257872128
7,1862400,15790.304753,8.478471194695016,435.881597932222,8.285965718468265,36.20579787475366,19.009670878
7,1977600,16761.649346,8.475753107807442,492.62465164329404,8.82226496581952,34.00487303003287,17.90869567
7,2073600,17575.722069,8.475946213831019,527.8152671288235,9.015421323965391,33.27631501841407,17.08063765
7,2169600,18392.495862,8.477367193030974,617.2691498995624,10.075399646809547,29.77549382817756,16.322538796
7,2265600,19217.218628,8.482176301200564,610.5702003903333,9.53772476051113,31.454042503101434,15.621012546
7,2361600,20036.064917,8.484106079352982,700.6697129385714,10.498395522831617,28.575795162943553,14.983372806
7,2457600,20844.913841,8.481817155354818,775.7441738521427,11.172281688641686,26.85216935632722,14.402018172
7,2553600,21660.649819,8.482397328869046,858.138702270923,11.895136591750267,25.220391349525272,13.861554735
7,2649600,22453.409176,8.474263728864734,956.7581972154615,12.79451413866295,23.447549219039786,13.37277713
7,2745600,23299.16123,8.485999865238929,1020.0482540705,13.144723783502357,22.822845496116333,12.886374474
7,2841600,24078.979051,8.473739812429617,1158.7349464801664,14.449266114713984,20.76230014855245,12.469863068
7,3187200,27044.081853,8.485216444841868,1646.3385851261817,18.28100932333362,16.410472457726076,11.104039891
